id,created_at,text
848239928043491328,2017-04-01 18:25:33,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""BadAstronomer We can def bring it back like Dragon Just a question of how much weight we need to add"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
848239664536223745,2017-04-01 18:24:30,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""teslaaddict TeslaMotors Working on it"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
848036043240636417,2017-04-01 4:55:23,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""jasonlamb Looks like it could do 20 more with some structural upgrades to handle higher loads But thats in fully expendable mode"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
847958571895619584,2017-03-31 23:47:32,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""cheron A lot"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
847890916048338946,2017-03-31 19:18:42,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""Cardoso Silliest thing we can imagine Secret payload of 1st Dragon flight was a giant wheel of cheese Inspired b httptco68nMJkiPsC"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
847884776719740928,2017-03-31 18:54:18,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""redletterdave Good point odds go from 0 to 0 "",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
847884413706874880,2017-03-31 18:52:51,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""Falcon Heavy test flight currently scheduled for late summer"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
847884351375372288,2017-03-31 18:52:36,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""Considering trying to bring upper stage back on Falcon Heavy demo flight for full reusability Odds of success low but maybe worth a shot"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
847883435100299267,2017-03-31 18:48:58,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""oxfordteddy Browser is already a little better Kernel and browser update in prob 6 weeks or so lots of underlyin httptcoXtgQGwJ21D"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
847882909906341888,2017-03-31 18:46:53,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""RT SpaceX More photos from todays Falcon 9 launch and first stage landing httpstco095WHX44BX httptcoc3UYhMrDec"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
847882289581359104,2017-03-31 18:44:25,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""BadAstronomer SpaceX Thanks Phil"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
847881536254955521,2017-03-31 18:41:25,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""Incredibly proud of the SpaceX team for achieving this milestone in space Next goal is reflight within 24 hours"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
847610880506208257,2017-03-31 0:45:56,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""RT SpaceX Falcon 9 first stage has landed on Of Course I Still Love You worlds first reflight of an orbital class rocket"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
847608431582208003,2017-03-31 0:36:12,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""RT SpaceX 60 minutes until launch window for SES10 opens All systems and weather are go Watch here httpstcogtC39uBC7z htt"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
847594208219336705,2017-03-30 23:39:41,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""RT SpaceX Falcon 9 and SES10 vertical on Kennedy Space Centers historic Pad 39A Launch window opens at 627pm EDT 1027pm UTC httpst"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
847580067446345728,2017-03-30 22:43:30,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""Made today on Tesla sketch pad httptcoZ8dFP2NN41"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
847561780532523008,2017-03-30 21:30:50,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""If you just downloaded V81 tap the the T on center screen three times"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
847580067456345728,2017-03-30 21:30:50,"""{""root"":{""children"":[{""children"":[{""detail"":0,""format"":0,""mode"":""normal"",""style"":"""",""text"":""drmanejwala arctechinc On center screen Also center screen will show speed as an overlay that changes opacity according to relevance"",""type"":""text"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""paragraph"",""version"":1}],""direction"":""ltr"",""format"":"""",""indent"":0,""type"":""root"",""version"":1}}""'"
